487	19980904T0900	 10.90	  8.00
488	19980904T2100	 14.10	 10.00
489	19980905T0900	 13.20	 12.20
490	19980905T2100	 18.60	 12.60
491	19980906T0900	 13.10	 11.30
492	19980906T2100	 16.90	 12.70
493	19980907T0900	 15.10	 12.70
494	19980907T2100	 16.60	 14.10
495	19980908T0900	 15.00	 12.10
496	19980908T2100	 16.50	 13.40
497	19980909T0900	 14.20	 12.90
498	19980909T2100	 14.30	 12.50
499	19980910T0900	 12.60	 11.90
500	19980910T2100	 12.20	 10.40
501	19980911T0900	 11.00	  6.80
502	19980911T2100	 12.60	  7.10
503	19980912T0900	  8.00	  5.40
504	19980912T2100	 10.30	  6.40
505	19980913T0900	  9.90	  4.90
506	19980913T2100	 12.10	  7.40
507	19980914T0900	  9.80	  7.30
508	19980914T2100	 13.10	  9.10
509	19980915T0900	 11.20	  7.50
510	19980915T2100	 14.80	  8.80
511	19980916T0900	 10.40	  7.90
512	19980916T2100	 12.80	  7.70
513	19980917T0900	 11.10	  7.00
514	19980917T2100	 15.00	 10.50
515	19980918T0900	 15.00	 11.50
516	19980918T2100	 16.80	 11.70
517	19980919T0900	 14.20	 10.20
518	19980919T2100	 16.90	 13.90
519	19980920T0900	 16.60	 10.20
520	19980920T2100	 20.40	 13.40
521	19980921T0900	 15.80	 10.20
522	19980921T2100	 13.60	  9.60
523	19980922T0900	 12.30	  9.20
524	19980922T2100	 14.10	  9.50
525	19980923T0900	 11.80	 10.00
526	19980923T2100	 15.80	 11.50
527	19980924T0900	 12.90	  9.90
528	19980924T2100	 14.60	 10.40
529	19980925T0900	 13.30	 10.40
530	19980925T2100	 13.30	 10.40
531	19980926T0900	 13.30	 11.10
532	19980926T2100	 14.40	 11.10
533	19980927T0900	 13.50	 11.20
534	19980927T2100	 13.80	 12.20
535	19980928T0900	 12.80	 11.90
536	19980928T2100	 15.00	  9.90
537	19980929T0900	 11.90	  6.60
538	19980929T2100	 14.10	 11.30
539	19980930T0900	 11.80	  9.90
540	19980930T2100	 14.40	 10.80
541	19981001T0900	 11.50	 10.60
542	19981001T2100	 13.80	 11.30
543	19981002T0900	 11.80	  9.70
544	19981002T2100	 10.80	  7.90
545	19981003T0900	  7.90	  3.60
546	19981003T2100	 11.40	  7.40
547	19981004T0900	  7.90	  7.00
548	19981004T2100	  9.80	  7.10
549	19981005T0900	  7.80	  6.50
550	19981005T2100	 10.40	  7.80
551	19981006T0900	  8.70	  7.90
552	19981006T2100	  9.40	  7.90
553	19981007T0900	  9.10	  6.20
554	19981007T2100	 11.40	  7.20
555	19981008T0900	  7.80	  5.60
556	19981008T2100	 10.80	  4.70
