 ID        IDTYPE  MET_DOM     YEAR   MONTH     DAY  END_HOUR   COUNT     AMT     DUR
 425000    RAIN        NCM     1998       6       8      2100      12     148    -999
 425000    RAIN        NCM     1998       6       9       900      12      30    -999
 425000    RAIN        NCM     1998       6       9      2100      12      32    -999
 425000    RAIN        NCM     1998       6      10       900      12      52    -999
 425000    RAIN        NCM     1998       6      10      2100      12       2    -999
 425000    RAIN        NCM     1998       6      11       900      12      52    -999
 425000    RAIN        NCM     1998       6      11      2100      12       0    -999
 425000    RAIN        NCM     1998       6      12       900      12       0    -999
 425000    RAIN        NCM     1998       6      12      2100      12       0    -999
 425000    RAIN        NCM     1998       6      13       900      12      92    -999
 425000    RAIN        NCM     1998       6      13      2100      12     158    -999
 425000    RAIN        NCM     1998       6      14       900      12      30    -999
 425000    RAIN        NCM     1998       6      14      2100      12       2    -999
 425000    RAIN        NCM     1998       6      15       900      12       0    -999
 425000    RAIN        NCM     1998       6      15      2100      12       2    -999
 425000    RAIN        NCM     1998       6      16       900      12       0    -999
 425000    RAIN        NCM     1998       6      16      2100      12      20    -999
 425000    RAIN        NCM     1998       6      17       900      12      26    -999
 425000    RAIN        NCM     1998       6      17      2100      12      14    -999
 425000    RAIN        NCM     1998       6      18       900      12     102    -999
 425000    RAIN        NCM     1998       6      18      2100      12      56    -999
 425000    RAIN        NCM     1998       6      19       900      12       2    -999
 425000    RAIN        NCM     1998       6      19      2100      12       0    -999
 425000    RAIN        NCM     1998       6      20       900      12       0    -999
 425000    RAIN        NCM     1998       6      20      2100      12      16    -999
 425000    RAIN        NCM     1998       6      21       900      12       0    -999
 425000    RAIN        NCM     1998       6      21      2100      12       0    -999
 425000    RAIN        NCM     1998       6      22       900      12      40    -999
 425000    RAIN        NCM     1998       6      22      2100      12       0    -999
 425000    RAIN        NCM     1998       6      23       900      12      42    -999
 425000    RAIN        NCM     1998       6      23      2100      12       2    -999
 425000    RAIN        NCM     1998       6      24       900      12      32    -999
 425000    RAIN        NCM     1998       6      24      2100      12      16    -999
 425000    RAIN        NCM     1998       6      25       900      12      10    -999
 425000    RAIN        NCM     1998       6      25      2100      12       6    -999
 425000    RAIN        NCM     1998       6      26       900      12      58    -999
 425000    RAIN        NCM     1998       6      26      2100      12      40    -999
 425000    RAIN        NCM     1998       6      27       900      12      64    -999
 425000    RAIN        NCM     1998       6      27      2100      12      18    -999
 425000    RAIN        NCM     1998       6      28       900      12       0    -999
 425000    RAIN        NCM     1998       6      28      2100      12      30    -999
 425000    RAIN        NCM     1998       6      29       900      12       0    -999
 425000    RAIN        NCM     1998       6      29      2100      12       0    -999
 425000    RAIN        NCM     1998       6      30       900      12       2    -999
 425000    RAIN        NCM     1998       6      30      2100      12       0    -999
 425000    RAIN        NCM     1998       7       1       900      12       0    -999
 425000    RAIN        NCM     1998       7       1      2100      12       0    -999
 425000    RAIN        NCM     1998       7       2       900      12       0    -999
 425000    RAIN        NCM     1998       7       2      2100      12       0    -999
 425000    RAIN        NCM     1998       7       3       900      12       0    -999
 425000    RAIN        NCM     1998       7       4       900      12       0    -999
 425000    RAIN        NCM     1998       7       4      2100      12       0    -999
 425000    RAIN        NCM     1998       7       5       900      12       0    -999
 425000    RAIN        NCM     1998       7       5      2100      12       0    -999
 425000    RAIN        NCM     1998       7       6       900      12       0    -999
 425000    RAIN        NCM     1998       7       6      2100      12       0    -999
 425000    RAIN        NCM     1998       7       7       900      12       0    -999
 425000    RAIN        NCM     1998       7       7      2100      12       0    -999
 425000    RAIN        NCM     1998       7       8       900      12       2    -999
 425000    RAIN        NCM     1998       7       8      2100      12       2    -999
 425000    RAIN        NCM     1998       7       9       900      12      10    -999
 425000    RAIN        NCM     1998       7       9      2100      12       0    -999
 425000    RAIN        NCM     1998       7      10       900      12       4    -999
 425000    RAIN        NCM     1998       7      10      2100      12      20    -999
 425000    RAIN        NCM     1998       7      11       900      12      12    -999
 425000    RAIN        NCM     1998       7      11      2100      12      42    -999
 425000    RAIN        NCM     1998       7      12       900      12      62    -999
 425000    RAIN        NCM     1998       7      12      2100      12      16    -999
 425000    RAIN        NCM     1998       7      13       900      12       4    -999
 425000    RAIN        NCM     1998       7      13      2100      12      36    -999
 425000    RAIN        NCM     1998       7      14       900      12       4    -999
 425000    RAIN        NCM     1998       7      14      2100      12      40    -999
 425000    RAIN        NCM     1998       7      15       900      12      16    -999
 425000    RAIN        NCM     1998       7      15      2100      12       0    -999
 425000    RAIN        NCM     1998       7      16       900      12       0    -999
 425000    RAIN        NCM     1998       7      16      2100      12       0    -999
 425000    RAIN        NCM     1998       7      17       900      12       6    -999
 425000    RAIN        NCM     1998       7      17      2100      12       6    -999
 425000    RAIN        NCM     1998       7      18       900      12       0    -999
 425000    RAIN        NCM     1998       7      18      2100      12       0    -999
 425000    RAIN        NCM     1998       7      19       900      12       8    -999
 425000    RAIN        NCM     1998       7      19      2100      12      16    -999
 425000    RAIN        NCM     1998       7      20       900      12      48    -999
 425000    RAIN        NCM     1998       7      20      2100      12      46    -999
