 ID        IDTYPE  MET_DOM     YEAR     MON     DAY    TIME   COUNT   MAX_T   MIN_T  MIN_GRASS_T  MIN_CONC_T
 7948      DCNN        NCM     1998       6       7     900      12     126      89           80        -999
 7948      DCNN        NCM     1998       6       7    2100      12     147     106         -999        -999
 7948      DCNN        NCM     1998       6       8     900      12     113      75           52        -999
 7948      DCNN        NCM     1998       6       8    2100      12     141      99         -999        -999
 7948      DCNN        NCM     1998       6       9     900      12     133     111          103        -999
 7948      DCNN        NCM     1998       6       9    2100      12     146      99         -999        -999
 7948      DCNN        NCM     1998       6      10     900      12     108      89           81        -999
 7948      DCNN        NCM     1998       6      10    2100      12     144      81         -999        -999
 7948      DCNN        NCM     1998       6      11     900      12      81      48           48        -999
 7948      DCNN        NCM     1998       6      11    2100      12     110      69         -999        -999
 7948      DCNN        NCM     1998       6      12     900      12     106      35            4        -999
 7948      DCNN        NCM     1998       6      12    2100      12     128      82         -999        -999
 7948      DCNN        NCM     1998       6      13     900      12      88      66           40        -999
 7948      DCNN        NCM     1998       6      13    2100      12     134      88         -999        -999
 7948      DCNN        NCM     1998       6      14     900      12     113      99           79        -999
 7948      DCNN        NCM     1998       6      14    2100      12     127      89         -999        -999
 7948      DCNN        NCM     1998       6      15     900      12      89      80           87        -999
 7948      DCNN        NCM     1998       6      15    2100      12     108      87         -999        -999
 7948      DCNN        NCM     1998       6      16     900      12     106      90           89        -999
 7948      DCNN        NCM     1998       6      16    2100      12     145      77         -999        -999
 7948      DCNN        NCM     1998       6      17     900      12     105      70           34        -999
 7948      DCNN        NCM     1998       6      17    2100      12     128     102         -999        -999
 7948      DCNN        NCM     1998       6      18     900      12     134      99          101        -999
 7948      DCNN        NCM     1998       6      18    2100      12     148     132         -999        -999
 7948      DCNN        NCM     1998       6      19     900      12     159     124          126        -999
 7948      DCNN        NCM     1998       6      19    2100      12     223     157         -999        -999
 7948      DCNN        NCM     1998       6      20     900      12     178     130           92        -999
 7948      DCNN        NCM     1998       6      20    2100      12     207     171         -999        -999
 7948      DCNN        NCM     1998       6      21     900      12     204     127          135        -999
 7948      DCNN        NCM     1998       6      21    2100      12     162     107         -999        -999
 7948      DCNN        NCM     1998       6      22     900      12     115      98           90        -999
 7948      DCNN        NCM     1998       6      22    2100      12     139     108         -999        -999
 7948      DCNN        NCM     1998       6      23     900      12     137     102          101        -999
 7948      DCNN        NCM     1998       6      23    2100      12     155     132         -999        -999
 7948      DCNN        NCM     1998       6      24     900      12     147     137          138        -999
 7948      DCNN        NCM     1998       6      24    2100      12     149     116         -999        -999
