YEAR MONTH DAY END_HOUR 0
1998 9 14 900 0.8
1998 9 14 2100 0
1998 9 15 900 0.2
1998 9 15 2100 1.4
1998 9 16 900 0
1998 9 16 2100 0.2
1998 9 17 900 0
1998 9 17 2100 0
1998 9 18 900 0.4
1998 9 18 2100 1.4
1998 9 19 900 0.4
1998 9 19 2100 0.2
1998 9 20 900 0.2
1998 9 20 2100 0
1998 9 21 900 0.2
1998 9 21 2100 0
1998 9 22 900 0
1998 9 22 2100 0
1998 9 23 900 0
1998 9 23 2100 0
1998 9 24 900 0
1998 9 24 2100 0
1998 9 25 900 0
1998 9 25 2100 0
1998 9 26 900 0.8
1998 9 26 2100 1.8
1998 9 27 900 1.2
1998 9 27 2100 0
1998 9 28 900 0
1998 9 28 2100 0
1998 9 29 900 0
1998 9 29 2100 0
1998 9 30 900 17.2
1998 9 30 2100 9
1998 10 1 900 1.2
1998 10 1 2100 4
1998 10 2 900 0.2
1998 10 2 2100 0
1998 10 3 900 0
1998 10 3 2100 0
1998 10 4 900 0
1998 10 4 2100 0.2
1998 10 5 900 0
1998 10 5 2100 2.4
1998 10 6 900 0.6
1998 10 6 2100 0
1998 10 7 900 0
1998 10 7 2100 0
1998 10 8 900 0
1998 10 8 2100 0
1998 10 9 900 0.2
1998 10 9 2100 5.8
1998 10 10 900 0.2
1998 10 10 2100 0
1998 10 11 900 4.6
1998 10 11 2100 0.2
1998 10 12 900 1.2
1998 10 12 2100 0
1998 10 13 900 2.6
1998 10 13 2100 16.2
1998 10 14 900 12.6
1998 10 14 2100 0
1998 10 15 900 0.2
1998 10 15 2100 0
1998 10 16 900 1.6
1998 10 16 2100 51
1998 10 17 900 1.2
1998 10 17 2100 6.2
1998 10 18 900 0.2
1998 10 18 2100 2.2
1998 10 19 900 1.8
1998 10 19 2100 0.8
1998 10 20 900 1.6
1998 10 20 2100 4
1998 10 21 900 16.6
1998 10 21 2100 3
1998 10 22 900 7.8
1998 10 22 2100 22
1998 10 23 900 32
1998 10 23 2100 4.8
1998 10 24 900 6.4
1998 10 24 2100 43
1998 10 25 900 6.2
1998 10 25 2100 1.6
1998 10 26 900 5.4
1998 10 26 2100 0.6
1998 10 27 900 49.2
1998 10 27 2100 37.6
1998 10 28 900 11.6
1998 10 28 2100 3.8
1998 10 29 900 4.2
1998 10 29 2100 5
1998 10 30 900 8.2
1998 10 30 2100 0.2
1998 10 31 900 3.6
1998 10 31 2100 4
1998 11 1 900 0.6
1998 11 1 2100 0.8
1998 11 2 900 6.6
1998 11 2 2100 11.6
1998 11 3 900 1.4
1998 11 3 2100 0.2
1998 11 4 900 1.2
1998 11 4 2100 0.6
1998 11 5 900 6.8
1998 11 5 2100 3.4
1998 11 6 900 7.4
1998 11 6 2100 0.6
1998 11 7 900 0.4
1998 11 7 2100 0
1998 11 8 900 12.2
1998 11 8 2100 2.4
1998 11 9 900 20.4
1998 11 9 2100 1.6
1998 11 10 900 3.2
1998 11 10 2100 0.6
1998 11 11 900 0
1998 11 11 2100 0.4
1998 11 12 900 10.4
1998 11 12 2100 15.4
1998 11 13 900 0.6
1998 11 13 2100 0.6
1998 11 14 900 7
1998 11 14 2100 2.6
1998 11 15 900 1.6
1998 11 15 2100 0.2
1998 11 16 900 0.2
1998 11 16 2100 0
1998 11 17 900 0
1998 11 17 2100 0
1998 11 18 900 0
1998 11 18 2100 0
1998 11 19 900 0
1998 11 19 2100 0
1998 11 20 900 0
1998 11 20 2100 0
1998 11 21 900 0
1998 11 21 2100 0.2
1998 11 22 900 0
1998 11 22 2100 5
1998 11 23 900 0.6
1998 11 23 2100 0
1998 11 24 900 10
1998 11 24 2100 0
1998 11 25 900 0
1998 11 26 900 3
1998 11 27 900 8.6
1998 11 28 900 5.2
1998 11 29 900 1
1998 11 30 900 0
1998 12 1 900 0
1998 12 2 900 0
1998 12 3 900 0
1998 12 3 2100 1.4
1998 12 4 900 0.8
1998 12 4 2100 0
1998 12 5 900 0
1998 12 5 2100 1.2
1998 12 6 900 0
1998 12 6 2100 0
1998 12 7 900 0
1998 12 7 2100 0
1998 12 8 900 14
1998 12 9 900 0.4
1998 12 9 900 4.4
1998 12 9 2100 0
1998 12 10 900 0
1998 12 10 2100 6.8
1998 12 11 900 1.4
1998 12 11 2100 3.6
1998 12 12 900 7.6
1998 12 12 2100 10
1998 12 13 900 1
1998 12 13 2100 12.6
1998 12 14 900 3
1998 12 14 2100 11.6
1998 12 15 900 1.2
1998 12 15 2100 7.2
1998 12 16 900 0
1998 12 16 2100 0
1998 12 17 900 0
1998 12 17 2100 4.2
1998 12 18 900 6.2
1998 12 18 2100 8.8
1998 12 19 900 2.6
1998 12 19 2100 0.4
1998 12 20 900 0.2
1998 12 20 2100 0
1998 12 21 900 0
1998 12 21 2100 2
1998 12 22 900 0
1998 12 22 2100 2.4
1998 12 23 900 2.6
1998 12 23 2100 1.8
1998 12 24 900 0
1998 12 24 2100 8.4
1998 12 25 900 7.2
1998 12 25 2100 11.2
1998 12 26 900 1.4
1998 12 26 2100 9.8
1998 12 27 900 0
1998 12 27 2100 8.2
1998 12 28 900 4
1998 12 28 2100 1.4
1998 12 29 900 0.2
1998 12 29 2100 0.2
1998 12 30 900 2.4
1998 12 30 2100 0
1998 12 31 900 0
1998 12 31 2100 0.8
