 ID        IDTYPE  MET_DOM     YEAR     MON     DAY  END_HOUR   COUNT  GLOBAL  DIFFUSE  DIRECT
 7948      DCNN    ESAWRADT    1998       1      12      1300       1      29     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1400       1      20     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1500       1      12     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1600       1       9     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1700       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1800       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13       900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1000       1       3     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1100       1      14     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1200       1      11     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1300       1       8     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1400       1       8     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1500       1       8     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1600       1       4     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      13      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      14         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      14       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      14       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      14       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      14       400       1       0     -999    -999
